Layer,Name,GEOID,Population,PCT-I_2019-2023,PCT-C_2019-2023,PCT-S_2019-2023
(Indicator name),,,,"Demographics, 0-4 years (% of residents), 2019-2023","Demographics, 0-17 years (% of residents), 2019-2023","Demographics, 65 and older (% of residents), 2019-2023"
(Definition),,,,"Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns.","Percent of residents within each demographic group. Use this topic to explore age, gender, and racial/ethnic breakdowns."
(Citation),,,,"American Community Survey (Table B01001)","American Community Survey (Table B01001)","American Community Survey (Table B01001)"
---,---,---,---,---,---,---
Census tract,Tract 701.02,17031070102,3063,3.3681374200067364,7.409902324014819,7.645671943415292
Census tract,Tract 701.03,17031070103,1845,0.0,0.0,1.0351966873706004
Census tract,Tract 702,17031070200,4200,2.4730334122599316,10.234148908182055,10.049986845566956
Census tract,Tract 703,17031070300,4349,2.8192371475953566,12.686567164179104,2.377003869541183
Census tract,Tract 704,17031070400,3250,7.617306520414381,17.45886654478976,9.628275441803778
Census tract,Tract 705,17031070500,3322,5.321861057998725,18.54684512428298,14.467813894200129
Census tract,Tract 706,17031070600,3449,6.875753920386007,26.869722557297948,6.332931242460796
Census tract,Tract 707,17031070700,3699,8.249387421726109,22.025592158998094,11.434794445956983
Census tract,Tract 710,17031071000,4357,3.543949638610399,12.497085567731403,4.896246211238051
Census tract,Tract 711,17031071100,3091,3.6291552302531263,13.38822811832876,8.325709057639525
Census tract,Tract 712,17031071200,2973,6.5652818991097925,17.618694362017802,9.56973293768546
Census tract,Tract 713,17031071300,3893,3.1587057010785826,13.687724704673856,13.81612737544941
Census tract,Tract 714,17031071400,4962,1.8502202643171808,7.687224669603525,12.136563876651982
Census tract,Tract 715,17031071500,6282,2.929360562437228,8.520254435888852,11.801138265818548
Census tract,Tract 716,17031071600,1793,9.26130099228225,24.586549062844544,10.584343991179711
Census tract,Tract 717,17031071700,1660,4.859335038363171,24.36061381074169,14.25831202046036
Census tract,Tract 718,17031071800,2652,3.966822935448972,19.87017670393076,8.294266137756942
Census tract,Tract 801,17031080100,6388,0.8089305937550558,4.077010192525481,31.807150946448793
Census tract,Tract 802.01,17031080201,3375,0.0,2.810304449648712,27.429742388758783
Census tract,Tract 802.02,17031080202,4225,2.495759631693724,3.8526774897019624,20.76568936273322
Census tract,Tract 803,17031080300,5499,2.193633514761669,11.957776678212106,5.657265380174831
Census tract,Tract 804,17031080400,4569,10.273972602739724,24.80788506515202,7.2836618777146676
Census tract,Tract 810,17031081000,8746,0.8647239990523572,5.0106609808102345,14.238332148779907
Census tract,Tract 811,17031081100,4187,2.1588089330024816,5.607940446650124,10.22332506203474
Census tract,Tract 812.01,17031081201,5080,1.7966695880806312,3.4837861524978084,25.17528483786152
Census tract,Tract 812.02,17031081202,3357,4.849688031764039,9.89790130459444,41.88882586500283
Census tract,Tract 813,17031081300,5540,1.7510402219140082,3.918169209431346,30.963938973647707
Census tract,Tract 814.01,17031081401,2508,2.5984911986588433,7.3763621123218766,28.331936295054483
Census tract,Tract 814.02,17031081402,7052,2.508960573476702,8.520690778755295,13.033561420658195
Census tract,Tract 814.03,17031081403,9843,2.763899223982141,6.484532794727331,9.02519400446476
Census tract,Tract 815,17031081500,5917,3.756528726396143,4.399357171554842,13.137806347930898
Census tract,Tract 816,17031081600,4168,3.2541567695961997,7.672209026128265,6.579572446555819
Census tract,Tract 817,17031081700,5537,1.400882748033007,1.400882748033007,5.200537324889656
Census tract,Tract 818,17031081800,11373,3.986737829532589,5.757722788290474,8.013909105612163
Census tract,Tract 819,17031081900,1325,6.230529595015576,11.91588785046729,8.489096573208723
